AtcoCode,PlateCode,CommonName_lang_en,ShortCommonName_lang_en,Street_lang_en,ShortCommonName_lang_ga,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Indicator_lang_en,NptgLocalityRef,NaptanCode,county,region,electoral_district_id,electoral_district
8230DB003432,3432.0,Bianconi Avenue,Bianconi Avenue,,Ascaill Bianconi,False,ITM,704792.0,727937.0,-6.428198608,53.29136615,BCT,MKD,OTH,W,823G001615,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB007459,7459.0,Lake Drive,Lake Drive,,Céide an Locha,False,ITM,704858.0,727876.0,-6.427229197000001,53.2908051,BCT,MKD,OTH,E,823G001615,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB004751,4751.0,Ballycullen Drive,Ballycullen Drive,Ballycullen Drive,Baile Uí Chuilinn,False,ITM,711215.0,726708.0,-6.3323318839999985,53.27901758,BCT,MKD,OTH,W,823G001616,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004758,4758.0,Carrig Wood,Carrig Wood,Ballycullen Drive,Choill na Carraige,False,ITM,711224.0,726720.0,-6.332192794,53.27912349,BCT,MKD,OTH,E,823G001616,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB003006,3006.0,Glenlyon Park,Glenlyon Park,Ballycullen Road,Páirc Ghleann Lín,False,ITM,711287.0,726647.0,-6.3312740960000005,53.2784545,BCT,MKD,OTH,S,823G001616,823,opp,E0823002,,South Dublin,Dublin,03012,Firhouse-Ballycullen
8230DB004759,4759.0,Glenvara Park,Glenvara Park,Ballycullen Road,Páirc Glenvara,False,ITM,711332.0,727092.0,-6.330443817000001,53.28244259,BCT,MKD,OTH,N,823G001617,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004760,4760.0,Sally Park Close,Sally Park Close,Ballycullen Road,Clós Pháirc Sailí,False,ITM,711319.0,727416.0,-6.330525211,53.28535588,BCT,MKD,OTH,N,823G001618,823,opp,E0823008,,South Dublin,Dublin,03014,Firhouse Village
8230DB004757,4757.0,Ballycullen Drive,Ballycullen Drive,Ballycullen Drive,Baile Uí Chuilinn,False,ITM,710918.0,726624.0,-6.336812641,53.27832517,BCT,MKD,OTH,NE,823G001619,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004754,4754.0,Ballycullen Drive,Ballycullen Drive,Ballycullen Drive,Baile Uí Chuilinn,False,ITM,710919.0,726611.0,-6.336802187999999,53.27820818,BCT,MKD,OTH,SW,823G001619,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004755,4755.0,Ballycullen Avenue,Ballycullen Avenue,Ballycullen Avenue,Baile Uí Chuilinn,False,ITM,710557.0,726634.0,-6.342219781,53.27849035,BCT,MKD,OTH,N,823G001620,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB003005,3005.0,Carriglea Avenue,Carriglea Avenue,Ballycullen Avenue,Na Carraige Léithe,False,ITM,710569.0,726641.0,-6.342037492,53.27855074,BCT,MKD,OTH,S,823G001620,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004756,4756.0,Scoil Treasa,Scoil Treasa,Ballycullen Avenue,Scoil Threasa,False,ITM,710702.0,726847.0,-6.3399723739999985,53.28037355,BCT,MKD,OTH,SW,823G001621,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB003003,3003.0,Mount Carmel Church,Mount Carmel Church,Ballycullen Avenue,Séip Chnoc Chairméal,False,ITM,710689.0,726841.0,-6.340169314,53.28032236,BCT,MKD,OTH,NE,823G001621,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB005024,5024.0,Marlfield Drive,Marlfield Drive,Kiltipper Way,Cde Ghort an Mharla,False,ITM,708651.0,725726.0,-6.371097301,53.27072721,BCT,MKD,OTH,SE,823G001622,823,,E0823006,,South Dublin,Dublin,03035,Tallaght-Kiltipper
8230DB005056,5056.0,Hermitage Clinic,Hermitage Clinic,Lucan Road,Clinic Eirmeatáiste,False,ITM,706321.0,735335.0,-6.402793927,53.35752149,BCT,MKD,OTH,E,823G001623,823,,E0823014,,South Dublin,Dublin,03020,Palmerston West
8230DB005101,5101.0,ESB Substation,,Grange Castle Busine,,False,ITM,703509.0,732067.0,-6.446087856,53.32872073,BCT,MKD,OTH,E,823G001624,823,opp,E0823024,,South Dublin,Dublin,03006,Clondalkin-Dunawley
8230DB005100,5100.0,ESB Substation,,Grange Castle Busine,,False,ITM,703502.0,732049.0,-6.446198777,53.32856039,BCT,MKD,OTH,W,823G001624,823,opp,E0823024,,South Dublin,Dublin,03006,Clondalkin-Dunawley
8230DB004960,4960.0,Fortunestown Lane,Fortunestown Lane,,An Chorrig Mhór,False,ITM,705245.0,727246.0,-6.421635615,53.28506876,BCT,MKD,OTH,S,823G001625,823,opp,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
823000267,,Citywest Road,,,,False,ITM,705245.0,727214.0,-6.4216462110000005,53.28478129,BCT,MKD,OTH,,823G001625,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB005008,5008.0,Belgard Square,Belgard Square,Belgard Square,Cearnóg Belgard,False,ITM,708717.0,727923.0,-6.3693569939999986,53.29045019,BCT,MKD,OTH,W,823G001626,823,,E0823018,,South Dublin,Dublin,03039,Tallaght-Springfield
8230DB005011,5011.0,Belgard Road,Belgard Road,Belgard Road,Bóthar Belgard,False,ITM,708185.0,729249.0,-6.376881291,53.30247098,BCT,MKD,OTH,NW,823G001627,823,,E0823018,,South Dublin,Dublin,03029,Tallaght-Belgard
8230DB005123,5123.0,Green Isle Road,Green Isle Road,Green Isle Road,Bóthar Green Isle,False,ITM,706168.0,729713.0,-6.406974591,53.30704717,BCT,MKD,OTH,SW,823G001628,823,opp,E0823022,,South Dublin,Dublin,03010,Clondalkin Village
8230DB005121,5121.0,Green Isle Road,Green Isle Road,Green Isle Road,Bóthar Green Isle,False,ITM,705711.0,729416.0,-6.413927782000001,53.30447041,BCT,MKD,OTH,NE,823G001629,823,,E0823022,,South Dublin,Dublin,03010,Clondalkin Village
8230DB005124,5124.0,Camac Valley,Camac Valley,Green Isle Road,Gleann na Camóige,False,ITM,705690.0,729395.0,-6.414249722,53.30428595,BCT,MKD,OTH,SW,823G001629,823,,E0823022,,South Dublin,Dublin,03010,Clondalkin Village
8230DB005125,5125.0,Brownsbarn Orchard,Brownsbarn Orchard,Kingswood Road,Scioból an Bhrúnaigh,False,ITM,705359.0,728744.0,-6.419429906,53.29850354,BCT,MKD,OTH,S,823G001630,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB005122,5122.0,Manor Drive,Manor Drive,Green Isle Road,Céide an Mhainéir,False,ITM,706143.0,729705.0,-6.407352226,53.30698031,BCT,MKD,OTH,NE,823G001631,823,,E0823022,,South Dublin,Dublin,03010,Clondalkin Village
8230DB005119,5119.0,Brownsbarn Orchard,Brownsbarn Orchard,Kingswood Road,Scioból an Bhrúnaigh,False,ITM,705314.0,728676.0,-6.420127252,53.2979016,BCT,MKD,OTH,N,823G001632,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB005120,5120.0,Kingswood Maldron,Kingswood Maldron,Kingswood Road,Maldron Choill an Rí,False,ITM,705407.0,728996.0,-6.418626477999999,53.30075786,BCT,MKD,OTH,N,823G001633,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB004933,4933.0,Belfry,Belfry,Citywest Road,Eastát an Chlogáis,False,ITM,705421.0,726423.0,-6.419270142999999,53.2776403,BCT,MKD,OTH,SE,823G001634,823,,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
8230DB004882,4882.0,Old Court Road,Old Court Road,Killininny Road,Br na Seanchúirte,False,ITM,710028.0,726213.0,-6.350294084,53.27481836,BCT,MKD,OTH,E,823G001635,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004874,4874.0,Allenton Road,Allenton Road,Killininny Road,Bóthar Bhaile Ailín,False,ITM,710007.0,726202.0,-6.350612609,53.27472389999999,BCT,MKD,OTH,W,823G001635,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004883,4883.0,Old Court Farm,Old Court Farm,Killininny Road,Feirm na Seanchúirte,False,ITM,710263.0,726257.0,-6.346756959,53.27516484,BCT,MKD,OTH,E,823G001636,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004873,4873.0,Old Court Farm,Old Court Farm,Killininny Road,Feirm na Seanchúirte,False,ITM,710250.0,726244.0,-6.346956294,53.27505076,BCT,MKD,OTH,W,823G001636,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004872,4872.0,Firhouse Carmel FC,Firhouse Carmel FC,Killininny Road,Firhouse Carmel FC,False,ITM,710557.0,726310.0,-6.342332425,53.27557978,BCT,MKD,OTH,W,823G001637,823,,E0823002,,South Dublin,Dublin,03014,Firhouse Village
8230DB004884,4884.0,Firhouse Carmel FC,Firhouse Carmel FC,Killininny Road,Firhouse Carmel FC,False,ITM,710544.0,726316.0,-6.342525169,53.27563638,BCT,MKD,OTH,E,823G001637,823,opp,E0823002,,South Dublin,Dublin,03014,Firhouse Village
