Stop number,Name without locality,Locality,Locality number,Code,Name,NaPTAN stop class,NaPTANId,Easting,Northing
596,Institute of Technology Waterford,Ballybeg,E0844003,1,Coal Quay,BCT,845000023,658769,610689
596,Institute of Technology Waterford,Ballybeg,E0844003,2,Coal Quay,BCT,845000024,658767,610724
597,Cloghan,Cloghan (Donegal),E0853138,1,R252,BCT,853000050,604224,899286
598,Cloghran Roundabout,Dublin Airport,E0824041,1,Dublin Road,BCT,825000311,717647,743985
599,Clonakilty Road Bandon,Bandon,E0838188,1,Clancoolmore,BCT,838000123,548438,554193
600,Mary Lynch's,Correllstown,E0833030,1,Mary Lynch's,BCT,8330B1032601,652981,749209
601,Clonaslee,Clonaslee,E0828038,1,R422,BCT,828000090,630967,711513
601,Clonaslee,Clonaslee,E0828038,2,R422,BCT,828000091,630967,711513
602,Clonberne,Clonbern,E0847125,1,R364,BCT,847000347,557016,756944
602,Clonberne,Clonbern,E0847125,2,R364,BCT,847000348,557122,756940
602,Clonberne,Clonbern,E0847125,3,R364,BCT,847000349,557122,756940
602,Clonberne,Clonbern,E0847125,4,R364,BCT,847000350,557016,756944
603,Clonbur,Clonbur,E0847058,1,R345,BCT,847000351,509564,755899
604,Clonduff,County Laois,E0828040,1,Clonduff,BCT,828000092,638257,714430
604,Clonduff,County Laois,E0828040,2,Clonduff,BCT,8280PB001912,637627,714425
605,Clongeen,County Wexford,E0834081,1,L3037,BCT,834000064,683932,616955
605,Clongeen,County Wexford,E0834081,2,L3037,BCT,834000065,683941,616944
606,Clonmacnoise Visitor Centre Carpark,Clonmacnoise,E0832043,1,R444,BCT,832000030,600874,730596
607,Clonmantagh,Woodsgift,E0827028,1,Clomantagh,BCT,827000029,634912,663777
607,Clonmantagh,Woodsgift,E0827028,2,Clomantagh,BCT,827000030,634913,663814
608,Clonminch Wood Tullamore,Tullamore (Offaly),E0832014,1,Clonminch Road,BCT,832000031,634391,723446
609,Clontarf Road Tullamore,Tullamore (Offaly),E0832014,1,Clontarf Road,BCT,832000032,633707,725409
610,Clonygowan,Clonygowan,E0832044,1,R420,BCT,832000033,648114,715400
610,Clonygowan,Clonygowan,E0832044,2,R420,BCT,832000034,648114,715400
610,Clonygowan,Clonygowan,E0832044,3,R420,BCT,832000035,648122,715404
610,Clonygowan,Clonygowan,E0832044,4,R420,BCT,832000036,648122,715404
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,1,Tuam Road,BCT,847000352,534629,730106
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,2,Tuam Road,BCT,847000355,534638,730099
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,3,Tuam Road,BCT,847000356,534630,730108
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,4,Tuam Road,BCT,847000357,534640,730101
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,5,Tuam Road,BCT,847000358,534631,730112
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,6,Tuam Road,BCT,847000359,534632,730106
611,Cloonacuneen Road Galway,Cloonacauneen,E0847131,7,Tuam Road,BCT,847000360,534643,730098
612,Cloonagh,County Galway,E0847132,1,R328,BCT,847000361,557265,752465
612,Cloonagh,County Galway,E0847132,2,R328,BCT,847000362,557220,752626
612,Cloonagh,County Galway,E0847132,3,R328,BCT,847000363,557265,752465
612,Cloonagh,County Galway,E0847132,4,R328,BCT,847000364,557220,752626
613,Cloonboo,Castlequarter,E0847085,1,N84,BCT,847000365,532391,736919
613,Cloonboo,Castlequarter,E0847085,2,N84,BCT,847000366,532407,736888
614,Cloonee,Srah,E0849050,1,R330,BCT,849000170,512925,774644
614,Cloonee,Srah,E0849050,2,R330,BCT,849000171,512945,774659
615,Cloonfush Road Galway,Tuam (Galway),E0847039,1,Galway Road,BCT,847000367,541569,751112
615,Cloonfush Road Galway,Tuam (Galway),E0847039,2,Galway Road,BCT,847000368,541570,751110
615,Cloonfush Road Galway,Tuam (Galway),E0847039,3,Galway Road,BCT,847000369,541569,751112
615,Cloonfush Road Galway,Tuam (Galway),E0847039,4,Galway Road,BCT,847000370,541569,751112
615,Cloonfush Road Galway,Tuam (Galway),E0847039,5,Galway Road,BCT,847000371,541570,751110
615,Cloonfush Road Galway,Tuam (Galway),E0847039,6,Galway Road,BCT,847000372,541570,751110
615,Cloonfush Road Galway,Tuam (Galway),E0847039,7,Galway Road,BCT,847000373,541569,751112
616,Cloonmore Road Galway,Belclare,E0847110,1,Galway Road,BCT,847000374,540473,749504
616,Cloonmore Road Galway,Belclare,E0847110,2,Galway Road,BCT,847000375,540472,749509
616,Cloonmore Road Galway,Belclare,E0847110,3,Galway Road,BCT,847000376,540472,749509
616,Cloonmore Road Galway,Belclare,E0847110,4,Galway Road,BCT,847000377,540472,749509
616,Cloonmore Road Galway,Belclare,E0847110,5,Galway Road,BCT,847000378,540473,749504
616,Cloonmore Road Galway,Belclare,E0847110,6,Galway Road,BCT,847000379,540473,749504
616,Cloonmore Road Galway,Belclare,E0847110,7,Galway Road,BCT,847000380,540472,749509
617,Cloughanover,Headford,E0847011,1,N84,BCT,847000381,527521,744950
617,Cloughanover,Headford,E0847011,2,N84,BCT,847000382,527516,744935
618,Cloughran Roundabout Dublin Road,Drinan (Fingal),E0824039,1,Dublin Road,BCT,8240PB002005,717746,744240
619,Heathfield Estate Kinnegad,Kinnegad,E0833011,1,Mullingar Road,BCT,833000019,659301,745672
620,"Cluide, Co. Galway",County Galway,E0847132,1,N84,BCT,847000383,533657,743935
620,"Cluide, Co. Galway",County Galway,E0847132,2,N84,BCT,847000384,533681,743916
621,Clybaun Court Galway,Knocknacarragh,E0846007,1,Clybaun Road,BCT,847000385,526199,724537
621,Clybaun Court Galway,Knocknacarragh,E0846007,2,Clybaun Road,BCT,847000386,526199,724537
622,Clybaun Heights Galway,Knocknacarragh,E0846007,1,Shangort Road,BCT,8460PB003658,526140,724210
622,Clybaun Heights Galway,Knocknacarragh,E0846007,2,Shangort Road,BCT,847000387,526140,724210
623,Clybaun Hotel Western Distributor Road Galway,Knocknacarragh,E0846007,1,Western Distributor Road Cluain Mor,BCT,847000388,526067,724889
623,Clybaun Hotel Western Distributor Road Galway,Knocknacarragh,E0846007,2,W.D.R. Carrigeen,BCT,847000524,526006,724864
623,Clybaun Hotel Western Distributor Road Galway,Knocknacarragh,E0846007,3,W.D.R. Cluain Dara/Drum Oir,BCT,847000544,525813,724841
623,Clybaun Hotel Western Distributor Road Galway,Knocknacarragh,E0846007,4,W.D.R. Carrigeen Estate,BCT,847000547,525988,724857
624,Clybaun Road Galway,Knocknacarragh,E0846007,5,Clybaun Road 200 yds from junction,BCT,847000389,526096,725828
624,Clybaun Road Galway,Knocknacarragh,E0846007,2,Clybaun Road,BCT,847000390,526212,724471
624,Clybaun Road Galway,Knocknacarragh,E0846007,3,Clybaun Road Clybaun Stores,BCT,847000391,526179,724700
624,Clybaun Road Galway,Knocknacarragh,E0846007,4,Clybaun Road,BCT,847000392,526179,724700
625,Coach House Hotel Oranmore,Oranmore,E0847034,1,Main Street,BCT,847000393,537970,724540
625,Coach House Hotel Oranmore,Oranmore,E0847034,2,Main Street,BCT,847000394,537963,724541
625,Coach House Hotel Oranmore,Oranmore,E0847034,3,Main Street,BCT,847000395,537970,724540
625,Coach House Hotel Oranmore,Oranmore,E0847034,4,Main Street,BCT,847000396,537963,724541
625,Coach House Hotel Oranmore,Oranmore,E0847034,5,Main Street,BCT,847000397,537963,724541
625,Coach House Hotel Oranmore,Oranmore,E0847034,6,Main Street,BCT,847000398,537970,724540
626,Coachmans Inn,Dublin Airport,E0824041,1,Dublin Road,BCT,825000327,717606,743902
627,"Coady's Pub, Linenhall Street, Castlebar",Castlebar,E0849135,1,Linenhall Street,BCT,849000005,514608,790641
628,Cobh Heritage Centre,Cobh,E0838210,1,High Road,BCT,838000014,579505,566387
628,Cobh Heritage Centre,Cobh,E0838210,2,High Road,BCT,838000015,579505,566387
629,Cockhill Road,Buncrana,E0853128,1,Cockhill Road,BCT,853000003,634685,932294
629,Cockhill Road,Buncrana,E0853128,2,Cockhill Road,BCT,853000004,634698,932289
630,Ashtown Road,Rathborne,99040494,1,Stop No. 7523,BCT,8220DB007253,711048,737607
631,Davitt Street South Wexford,Wexford,E0834025,1,Davitt Street South,BCT,834000233,704396,621712
631,Davitt Street South Wexford,Wexford,E0834025,2,Davitt Street South,BCT,834000234,704385,621704
632,Stillorgan Road (Sycamore Crescent),Mount Merrion,E0825018,->N1,Stop No. 2068,BCT,8250DB002068,719705,728907
632,Stillorgan Road (Sycamore Crescent),Mount Merrion,E0825018,1,,BCT,825000344,719703,728908
633,Talbot Green Wexford,Wexford,E0834025,1,Talbot Green,BCT,834000191,704476,621331
633,Talbot Green Wexford,Wexford,E0834025,2,Talbot Green,BCT,834000192,704464,621330
634,Collins Avenue Waterford,Waterford,E0844001,1,Collins Avenue,BCT,8440PB003537,663613,610369
634,Collins Avenue Waterford,Waterford,E0844001,2,Collins Avenue,BCT,845000005,663626,610380
635,Colmcille Avenue Cork,Montenotte,E0837026,1,Colmcille Avenue,BCT,838000016,570084,573231
635,Colmcille Avenue Cork,Montenotte,E0837026,2,Colmcille Avenue,BCT,838000017,570083,573219
636,Commons,Ashford (Limerick),E0841070,1,Cleanglass,BCT,841000007,522965,622574
636,Commons,Ashford (Limerick),E0841070,2,Cleanglass,BCT,841000008,522993,622570
637,Cong Car Park,Cong,E0849140,1,R345,BCT,849000006,514854,755310
637,Cong Car Park,Cong,E0849140,2,R345,BCT,849000007,514854,755306
637,Cong Car Park,Cong,E0849140,3,R345,BCT,849000008,514854,755310
637,Cong Car Park,Cong,E0849140,4,R345,BCT,849000009,514854,755310
637,Cong Car Park,Cong,E0849140,5,R345,BCT,849000010,514854,755310
638,Conna,Conna,E0838075,1,R628,BCT,838000018,592477,593418
638,Conna,Conna,E0838075,2,R628,BCT,838000019,592475,593421
639,St Aidans Road Wexford,Wexford,E0834025,1,St Aidans Road,BCT,834000193,704387,621061
639,St Aidans Road Wexford,Wexford,E0834025,2,St Aidans Road,BCT,834000194,704375,621070
640,Connemara National Park,Letterfrack,E0847064,1,N59,BCT,847000038,471100,757331
641,Connolly Avenue Galway,Wellpark,E0846009,1,Tuam Road,BCT,847000039,531802,727012
641,Connolly Avenue Galway,Wellpark,E0846009,2,Tuam Road,BCT,847000040,531802,727012
641,Connolly Avenue Galway,Wellpark,E0846009,3,Tuam Road,BCT,847000041,531802,727012
641,Connolly Avenue Galway,Wellpark,E0846009,4,Tuam Road,BCT,847000042,531798,727019
641,Connolly Avenue Galway,Wellpark,E0846009,5,Tuam Road,BCT,847000043,531798,727019
641,Connolly Avenue Galway,Wellpark,E0846009,6,Tuam Road,BCT,847000044,531798,727019
641,Connolly Avenue Galway,Wellpark,E0846009,7,Tuam Road,BCT,847000045,531798,727019
642,"Connolly's Pub, Markievicz Road, Sligo",Sligo,E0851011,1,Markievicz Road,BCT,851000001,569122,836070
643,Convent Hill Bandon,Bandon,E0838188,1,Convent Hill,BCT,838000020,548800,555512
644,Convent Hill Roscrea,Roscrea,E0842016,1,Convent Hill,BCT,843000027,613618,688915
644,Convent Hill Roscrea,Roscrea,E0842016,2,Convent Hill,BCT,843000028,613622,688915
645,Coolcappa,County Limerick,E0841097,1,Coolcappa,BCT,841000009,531088,642268
645,Coolcappa,County Limerick,E0841097,2,Coolcappa,BCT,841000010,531068,642279
646,Coologue Cross,Pallas Grean,E0841055,1,Coologue Cross,BCT,841000011,575386,643545
646,Coologue Cross,Pallas Grean,E0841055,2,Coologue Cross,BCT,841000012,575384,643551
647,Cooraclare,Cooraclare,E0836083,1,R483,BCT,836000015,504138,662256
647,Cooraclare,Cooraclare,E0836083,2,R483,BCT,836000016,504158,662250
648,Coore,County Clare,E0836087,1,Coore,BCT,836000017,508749,674357
648,Coore,County Clare,E0836087,2,Coore,BCT,836000018,508745,674328
648,Coore,County Clare,E0836087,3,Coore,BCT,836000019,508749,674357
648,Coore,County Clare,E0836087,4,Coore,BCT,836000020,508749,674357
648,Coore,County Clare,E0836087,5,Coore,BCT,836000021,508745,674328
648,Coore,County Clare,E0836087,6,Coore,BCT,836000022,508745,674328
649,Coppeen,Cappeen,E0838124,1,R585,BCT,838000033,531568,560764
649,Coppeen,Cappeen,E0838124,2,R585,BCT,838000034,531570,560770
650,Corbally,Corrofin (Galway),E0847100,1,N17,BCT,847000080,539311,738897
650,Corbally,Corrofin (Galway),E0847100,2,N17,BCT,847000081,539335,738891
650,Corbally,Corrofin (Galway),E0847100,3,N17,BCT,847000082,539311,738897
650,Corbally,Corrofin (Galway),E0847100,4,N17,BCT,847000083,539335,738891
651,Corclough Belmullet,County Mayo,E0849141,1,Corclough,BCT,849000029,467091,835801
652,Cork Airport Terminal,Cork Airport,E0837019,1,Kinsale Road,BCT,8380PB001942,566297,566441
652,Cork Airport Terminal,Cork Airport,E0837019,2,Kinsale Road,BCT,838000035,566297,566441
652,Cork Airport Terminal,Cork Airport,E0837019,YYY$1,Cork Airport,TXR,8370TR000268,566319,566389
652,Cork Airport Terminal,Cork Airport,E0837019,YYY$2,Cork Airport,TXR,8370TR000267,566298,566437
652,Cork Airport Terminal,Cork Airport,E0837019,YYY$3,Cork Airport,TXR,8370TR000266,566284,566499
653,Cork City Gaol,Shanakiel,E0837008,1,Convent Avenue,BCT,838000036,565661,571969
654,Cork City Library,Cork City,E0837001,1,Grand Parade,BCT,838000037,567331,571721
654,Cork City Library,Cork City,E0837001,2,Grand Parade,BCT,838000038,567331,571721
655,Cork Greyhound Track,Bishopstown,E0837013,1,Curraheen Road,BCT,838000039,562191,569427
656,Cork Institute of Technology,Bishopstown,E0837013,1,Rossbrook,BCT,838000040,563172,570569
657,Charlestown,Charlestown (Dublin City),E0822061,1,Stop No. 7524,BCT,8250DB007524,712622,740634
658,Cork Road Bandon,Bandon,E0838188,1,Cork Road/Macroom Road,BCT,838000041,549267,555946
659,Cork Street,The Coombe,E0822071,1,Cork Street,BCT,825000164,714645,733438
659,Cork Street,The Coombe,E0822071,2,Cork Street,BCT,825000165,714650,733451
660,Cork Tourist Office,Cork City,E0837001,1,Grand Parade,BCT,838000042,567339,571691
660,Cork Tourist Office,Cork City,E0837001,2,Grand Parade,BCT,838000043,567344,571693
660,Cork Tourist Office,Cork City,E0837001,3,Grand Parade,BCT,838000044,567339,571691
660,Cork Tourist Office,Cork City,E0837001,4,Grand Parade,BCT,838000045,567339,571691
660,Cork Tourist Office,Cork City,E0837001,5,Grand Parade,BCT,838000046,567344,571693
661,Cork University Hospital,Bishopstown,E0837013,1,Bandon Road,BCT,838000047,565018,570234
661,Cork University Hospital,Bishopstown,E0837013,2,Bandon Road,BCT,838000048,565018,570234
661,Cork University Hospital,Bishopstown,E0837013,3,Bandon Road,BCT,838000049,564893,570104
662,Corkscrew Hill Co. Clare,County Clare,E0836087,1,N67,BCT,836000023,520319,702875
663,Cornamaddy,Ballykeeran,E0833045,1,Athlone Road,BCT,833000003,606640,743130
663,Cornamaddy,Ballykeeran,E0833045,2,Athlone Road,BCT,833000004,606647,743121
664,Cornamona,Cornamona,E0847057,1,R345,BCT,847000115,504472,752873
665,Cheekpoint Shop,Cheekpoint,99012102,1,Cheekpoint Shop,BCT,845000059,668536,613490
665,Cheekpoint Shop,Cheekpoint,99012102,2,Cheekpoint Shop,BCT,845000097,668547,613486
666,Stillorgan Road (Trees Road),Mount Merrion,E0825018,->N2,Stop No. 461,BCT,8250DB000461,719759,728672
666,Stillorgan Road (Trees Road),Mount Merrion,E0825018,1,,BCT,825000345,719772,728656
667,Corofin Church,Curracloe,E0834054,2,R742,BCT,834000029,709705,628050
667,Corofin Church,Curracloe,E0834054,3,R742,BCT,834000030,709705,628050
668,Curracloe,Curracloe,E0834054,1,R742,BCT,834000031,709715,628054
668,Curracloe,Curracloe,E0834054,2,R742,BCT,834000032,709715,628054
669,Corrandulla Cross,Corrandulla,E0847084,1,N84,BCT,847000116,532390,739798
669,Corrandulla Cross,Corrandulla,E0847084,2,N84,BCT,847000117,532356,739799
670,Corraunboy,Ross Port,E0849069,1,Corraunboy,BCT,849000036,485307,839374
670,Corraunboy,Ross Port,E0849069,2,Corraunboy,BCT,849000037,485294,839369
671,Corrib Oil Tuam,Tuam (Galway),E0847039,1,Galway Road,BCT,847000118,543172,751896
671,Corrib Oil Tuam,Tuam (Galway),E0847039,2,Galway Road,BCT,847000119,543175,751893
671,Corrib Oil Tuam,Tuam (Galway),E0847039,3,Galway Road,BCT,847000120,543172,751896
671,Corrib Oil Tuam,Tuam (Galway),E0847039,4,Galway Road,BCT,847000121,543175,751893
671,Corrib Oil Tuam,Tuam (Galway),E0847039,5,Galway Road,BCT,847000122,543172,751896
671,Corrib Oil Tuam,Tuam (Galway),E0847039,6,Galway Road,BCT,847000123,543172,751896
671,Corrib Oil Tuam,Tuam (Galway),E0847039,7,Galway Road,BCT,847000124,543172,751896
671,Corrib Oil Tuam,Tuam (Galway),E0847039,8,Galway Road,BCT,847000125,543175,751893
672,Corrib Park Galway,Shantalla,E0846004,1,Thomas Hynes Road,BCT,847000126,528604,726093
672,Corrib Park Galway,Shantalla,E0846004,2,Thomas Hynes Road,BCT,847000127,528611,726096
673,Corrigan's Corner House Banagher,Banagher,E0832037,1,Main Street,BCT,832000008,600878,715498
673,Corrigan's Corner House Banagher,Banagher,E0832037,3,Main Street,BCT,832000009,600880,715469
674,Costa Na Mara Oranmore,Oranmore,E0847034,1,Coast Road,BCT,847000128,537673,725178
674,Costa Na Mara Oranmore,Oranmore,E0847034,2,Coast Road,BCT,847000129,537672,725177
675,Costello Road Galway,Shantalla,E0846004,1,Costello Road,BCT,847000130,528935,725413
675,Costello Road Galway,Shantalla,E0846004,2,Costello Road,BCT,847000131,529013,725421
676,Coulagh,Urhin,E0838183,1,R575,BCT,838000115,463680,549575
676,Coulagh,Urhin,E0838183,2,R571,BCT,838000116,463680,549574
677,Coulter Place Dundalk,Dundalk,E0830004,1,Armagh Road,BCT,830000023,704653,808697
678,County Hall Dun Laoghaire,Dun Laoghaire,E0825030,1,Marine Road,BCT,825000299,724369,728679
678,County Hall Dun Laoghaire,Dun Laoghaire,E0825030,2,Marine Road,BCT,825000300,724369,728679
678,County Hall Dun Laoghaire,Dun Laoghaire,E0825030,3,Marine Road,BCT,825000301,724367,728687
679,"Courtenay Lodge Hotel, Newcastlewest",Newcastle West,E0841030,1,Rathina,BCT,841000080,528569,633607
680,Crag Lay By Castleisland,Castleisland,E0839084,1,N21,BCT,839000031,502505,613525
681,Cragg,County Limerick,E0841097,1,Cragg,BCT,841000081,515211,621677
681,Cragg,County Limerick,E0841097,2,Cragg,BCT,841000082,515205,621620
682,Swords Road (Millview Road),Malahide,E0824009,->SE,Stop No. 5081,BCT,8240DB005081,720899,745794
682,Swords Road (Millview Road),Malahide,E0824009,->SE1,Stop No. 5082,BCT,8240DB005082,721128,745673
