Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
1838,26/04/2010,"26 Seabury Lane, Malahide",,Dublin,525000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1841,26/04/2010,"4 Lissadel Grove, Malahide",,Dublin,382000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1843,26/04/2010,"7 Upper Artane Cottages, Malahide Road, Artane",Dublin 8,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2098,07/05/2010,"37 The Walk, Robswall, Malahide",,Dublin,458149.77,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
2150,11/05/2010,"20 Myra Manor, Kinsealy, Malahide",,Dublin,638766.51,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
2176,12/05/2010,"84 Galtrim Grange, Broomfield, Malahide",,Dublin,200000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
2226,14/05/2010,"26 Seabury Wood, Malahide, Co. Dublin",,Dublin,380000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2358,21/05/2010,"22 Templeview Avenue, Clare Hall, Malahide Road",Dublin 13,Dublin,290000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2440,26/05/2010,"51 Waterside Court, Swords Rd  Malahide",,Dublin,317500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2466,27/05/2010,"245 Malahide Marina, Malahide",,Dublin,440000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2514,28/05/2010,"4 The Courtyard, Robswall, Malahide",,Dublin,125000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
2516,28/05/2010,"41 Waterside Lawn, Swords Road, Malahide",,Dublin,270000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
2534,28/05/2010,"8 Parnell Cottages, The Hill Malahide, Dublin",,Dublin,610000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2557,31/05/2010,"276 Malahide Road, Artane",Dublin 5,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2591,01/06/2010,"85 Newtown Court, Malahide Road",Dublin 17,Dublin,87500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2594,01/06/2010,"Apartment 44 Waterside Drive, Wateside Swords, Malahide",,Dublin,195555.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
2597,02/06/2010,"1 Inbhir Ide, Malahide",,Dublin,328000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2618,03/06/2010,"13 Gainsborough Lawn, Swords Road, Malahide",,Dublin,430000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2620,03/06/2010,"23 The Bawn Grove, Malahide",,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
