Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
120594,30/05/2019,"65 Suncroft Park, Tallaght, Dublin 24",Dublin 24,Dublin,212000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120605,30/05/2019,"91 Alderpark Court, Tallaght, Dublin 24",Dublin 24,Dublin,232500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120622,31/05/2019,"1 Swiftbrook Dr, Tallaght, Dublin 24",Dublin 24,Dublin,31335.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120627,31/05/2019,"100 Watergate Est, Tallaght, Dublin 24",Dublin 24,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120795,04/06/2019,"6 Ellensborough Grove, Kiltipper Rd, Tallaght Dublin 24",Dublin 24,Dublin,400000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120845,05/06/2019,"6 Allenton Way, Ballycragh, Tallaght Dublin 24",Dublin 24,Dublin,221000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120847,05/06/2019,"6 Corbally Vale, Westbrook Lawns, Tallaght Dublin 24",Dublin 24,Dublin,319000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120864,06/06/2019,"1 Parkhill West, Kilnamanagh, Tallaght Dublin 24",Dublin 24,Dublin,305000.0,No,New Dwelling house /Apartment,,Tallaght,Dublin 24
120873,06/06/2019,"13 Bolbrook Drive, Tallaght, Dublin 24",Dublin 24,Dublin,236000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
120966,07/06/2019,"3 Treepark Avenue, Kilmanagh Estate, Tallaght",Dublin 24,Dublin,349000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121039,10/06/2019,"2 Rosebank, Oldbawn, Tallaght",Dublin 24,Dublin,335000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121090,11/06/2019,"2A Alderwood Close, Springfield, Tallaght Dublin 24",Dublin 24,Dublin,252000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121273,14/06/2019,"17 Homelawn Drive, Tallaght, Dublin 24",Dublin 24,Dublin,249000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121321,14/06/2019,"50 Bancroft Park, Tallaght, Dublin 24",Dublin 24,Dublin,470000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121356,14/06/2019,"99 The Dale, Heights, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121421,17/06/2019,"48 Cloonmore Ave, Tallaght, Dublin 24",Dublin 24,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121519,19/06/2019,"152 The Meadows East, Belgard Heights, Tallaght Dublin 24",Dublin 24,Dublin,427553.45,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121555,19/06/2019,"8 Bolbrook Villas, Tallaght, Dublin 24",Dublin 24,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121595,20/06/2019,"4 Ellensborough Crescent, Kiltipper Rd, Tallaght Dublin 24",Dublin 24,Dublin,402500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121605,20/06/2019,"57 Russell Lawns, Russell Sq, Tallaght",Dublin 24,Dublin,222500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121622,20/06/2019,"90 Priors Gate, Greenhills Rd, Tallaght Dublin 24",Dublin 24,Dublin,225000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121676,21/06/2019,"1 Tamerisk Dale, Kilnamanagh, Tallaght",Dublin 24,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121740,21/06/2019,"63 Sundale Ave, Jobstown, Tallaght Dublin 24",Dublin 24,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121746,21/06/2019,"75 Dunmore Park, Kingswood Heights, Tallaght Dublin 24",Dublin 24,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121802,24/06/2019,"55 The Oaks, Belgard Heights, Tallaght Dublin 24",Dublin 24,Dublin,365000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121807,24/06/2019,"7 Tymonville Lawn, Tallaght, Dublin 24",Dublin 24,Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121830,25/06/2019,"18 Sundale Crescent, Tallaght, Dublin 24",Dublin 24,Dublin,202000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121831,25/06/2019,"19 Kilclare Ave, Jobstown, Tallaght Dublin 24",Dublin 24,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121867,25/06/2019,"89 The Wood, Millbrook Lawns, Tallaght Dublin 24",Dublin 24,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121905,26/06/2019,"30C Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,245000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
121976,27/06/2019,"28 De Selby Dr, Blessington Rd, Tallaght Dublin 24",Dublin 24,Dublin,242000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122044,28/06/2019,"151 The Crescent, Millbrook Lawns, Tallaght Dublin 24",Dublin 24,Dublin,256000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122068,28/06/2019,"22 The Park, Kingswood Heights, Tallaght Dublin 24",Dublin 24,Dublin,297500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122132,28/06/2019,"7 Russell Downs, Tallaght, Dublin 24",Dublin 24,Dublin,195000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122197,01/07/2019,"35 Elmcastle Dr, Tallaght, Dublin 24",Dublin 24,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122230,02/07/2019,"12 Riverview, Old Bawn Bridge, Tallaght Dublin 24",Dublin 24,Dublin,335000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122232,02/07/2019,"128 Watergate Estate, Tallaght, Dublin 24",Dublin 24,Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122277,02/07/2019,"70A Dunmore Lawn, Kingswood, Tallaght",,Dublin,460000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122329,03/07/2019,"65 New Bancroft Hall, Greenhills Rd Extension, Tallaght Village Dublin 24",Dublin 24,Dublin,220000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122372,04/07/2019,"37 Alderpark Court, Old Blessington Rd, Tallaght Dublin 24",Dublin 24,Dublin,205000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122465,05/07/2019,"34 Tymonville, Tymon North, Tallaght Dublin 24",Dublin 24,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122492,05/07/2019,"7 Tymonville Lawn, Tallaght, Dublin 24",Dublin 24,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122495,05/07/2019,"79 Cushlawn Park, Killinarden, Tallaght Dublin 24",Dublin 24,Dublin,225000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122524,08/07/2019,"25 Drumcairn Parkm, Tallaght, Dublin 24",Dublin 24,Dublin,205500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122540,08/07/2019,"7 Redwood Way, Kilnamanagh, Tallaght",Dublin 24,Dublin,355000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122550,08/07/2019,"Apt 27 Aengus Hall, Belgard Sq East, Tallaght Dublin 24",Dublin 24,Dublin,175000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122567,09/07/2019,"142 Meadows East, Belgard Heights, Tallaght",,Dublin,375000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122603,09/07/2019,"70 Homelawn Rd, Tallaght Dublin 24, Dublin",Dublin 24,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122657,10/07/2019,"4 Marlfield Green, Kiltipper Way, Tallaght Dublin 24",Dublin 24,Dublin,277000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122766,12/07/2019,"1 Seskin View Avenue, Old Bawn, Tallaght",Dublin 24,Dublin,281000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122772,12/07/2019,"11 Corbally Rise, Westbrook Glen, Tallaght Dublin 24",Dublin 24,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122804,12/07/2019,"20 Kilcarrig Green, Tallaght, Dublin 24",Dublin 24,Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122826,12/07/2019,"324 Glenview Lawns, Tallaght, Dublin 24",Dublin 24,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122966,16/07/2019,"3 Belfry Close, City West, Tallaght Dublin 24",Dublin 24,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122973,16/07/2019,"36 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122979,16/07/2019,"40 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122983,16/07/2019,"5 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122990,16/07/2019,"7 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
122998,16/07/2019,"9 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123052,17/07/2019,"Apt 225 Block F, Arena Court, Tallaght",,Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123067,18/07/2019,"105 Sundale Park, Tallaght Dublin 24, Dublin",Dublin 24,Dublin,212083.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123085,18/07/2019,"20 Suncroft Pk, Fortunestown Tallaght, Dublin 24",Dublin 24,Dublin,159204.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123089,18/07/2019,"24 Kiltipper Close, Aylesbury, Tallaght Dublin 24",Dublin 24,Dublin,246862.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123118,18/07/2019,"61 Watermeadow Dr, Oldbawn, Tallaght Dublin 24",Dublin 24,Dublin,415000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123126,18/07/2019,"8 St Maelruan Courtyard, Old Bawn, Tallaght",,Dublin,167000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123303,23/07/2019,"19 The Hill, Citywest Village, Tallaght",,Dublin,312775.32,Yes,New Dwelling house /Apartment,,Tallaght,Dublin 24
123423,25/07/2019,"1 West Park, Tallaght, Village",,Dublin,317500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123511,26/07/2019,"11 Fernwood Court, Springfield, Tallaght",Dublin 24,Dublin,244000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123548,26/07/2019,"22A Belgard Sq, West Tallaght, Dublin",Dublin 24,Dublin,220000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123579,26/07/2019,"53 Virginia Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,335000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123601,27/07/2019,"5 Bawnlea Green, Tallaght, Dublin 24",Dublin 24,Dublin,142000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123607,29/07/2019,"131 Tymon Cresent, Old Bawn, Tallaght Dublin 24",Dublin 24,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123639,29/07/2019,"78 Suncroft Drive, Tallaght, Dublin 24",,Dublin,212500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123655,30/07/2019,"1 &Amp; 1A The View, Belgard Heights, Tallaght Dublin 24",Dublin 24,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123689,30/07/2019,"40 The Park, Kingswood Heights, Tallaght Dublin 24",Dublin 24,Dublin,380000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123720,31/07/2019,"1 Alderpark Court, Tallaght, Dublin 24",Dublin 24,Dublin,205000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123754,31/07/2019,"2 Alderwood Grove, Springfield, Tallaght Dublin 24",Dublin 24,Dublin,248500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123808,31/07/2019,"Apt 117 Westend Gate, Cookstown, Tallaght Dublin 24",Dublin 24,Dublin,195000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123943,02/08/2019,"12 Old Bawn Close, Tallaght, Dublin 24",Dublin 24,Dublin,345600.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123949,02/08/2019,"14 Colberts Fort, Belgard Rd, Tallaght Dublin 24",Dublin 24,Dublin,249000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123963,02/08/2019,"20 Ard Mor Park, Tallaght, Dublin 24",Dublin 24,Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
123964,02/08/2019,"21 Seskin View Park, Tallaght, Dublin 24",Dublin 24,Dublin,286000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124000,02/08/2019,"6 Newhall Court, Blessington Rd, Tallaght Dublin 24",Dublin 24,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124024,06/08/2019,"10 Sundale Close, Tallaght, Dublin 24",Dublin 24,Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124074,07/08/2019,"1 Hazel Grove Court, Tallaght, Dublin",Dublin 24,Dublin,175000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
