date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins
05/06/2014,"8 Harcourt Hall, Charlotte Way, Harcourt St Dublin 2",Dublin,177200.0,No,Harcourt St,Dublin 2,q1
17/12/2014,"Apt 3, 91 Harcourt St, Dublin 2",Dublin,560000.0,No,Harcourt St,Dublin 2,q4
04/02/2015,"10 Harcourt Street, Dublin 2",Dublin,250000.0,No,Harcourt St,Dublin 2,q1
22/07/2016,"Top Floor 10 Harcourt St, Dublin 2, Dublin",Dublin,450000.0,No,Harcourt St,Dublin 2,q3
27/02/2017,"37 Harcourt Street, Dublin 2",Dublin,1000000.0,No,Harcourt St,Dublin 2,q4
19/12/2018,"Apt 7 Ivy Court, Block B Ivy Court Complex, Harcourt St Dublin 2",Dublin,415000.0,No,Harcourt St,Dublin 2,q2
19/12/2018,"Apt 8 Ivy Court, Block B Ivy Cout Complex, Harcourt St Dublin 2",Dublin,415000.0,No,Harcourt St,Dublin 2,q2
19/12/2018,"Apt 9 Ivy Court, Block B Ivy Cout Complex, Harcourt St Dublin 2",Dublin,415000.0,No,Harcourt St,Dublin 2,q3
03/05/2019,"21 Harcourt Hall, Charlotte Way, Harcourt St Dublin 2",Dublin,265000.0,No,Harcourt St,Dublin 2,q1
